[GIN] 2022/02/26 - 15:40:38 | 200 |     208.183µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:38 | 200 |     275.086µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:42 | 200 |     139.877µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:42 | 200 |      263.37µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:52 | 200 |      25.613µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:52 | 200 |      90.569µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:58 | 200 |      23.381µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:40:58 | 200 |      80.159µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:41:03 | 200 |      54.041µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:41:03 | 200 |     125.696µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:42:39 | 200 |      25.776µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:42:39 | 200 |     378.379µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:42:49 | 200 |      57.246µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:42:49 | 200 |     130.914µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:42:56 | 200 |      70.901µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:42:56 | 200 |     137.343µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:43:48 | 200 |      38.117µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:43:48 | 200 |   42.138243ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:28 | 200 |        44.8µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:28 | 200 |     104.074µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:31 | 200 |     101.454µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:31 | 200 |     185.532µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:40 | 200 |      24.085µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:40 | 200 |      85.934µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:42 | 200 |      49.186µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:44:42 | 200 |       112.9µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:11 | 200 |    2.102639ms |       127.0.0.1 | POST     "/luck/juSljU85/goodluck"
[GIN] 2022/02/26 - 15:45:11 | 200 |    2.407954ms |       127.0.0.1 | POST     "/luck/juSljU85/goodluck"
[GIN] 2022/02/26 - 15:45:24 | 200 |     378.163µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:24 | 200 |     422.797µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:27 | 200 |      65.478µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:27 | 200 |   26.289671ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:29 | 200 |     581.365µs |       127.0.0.1 | POST     "/luck/juSljU85/goodluck"
[GIN] 2022/02/26 - 15:45:29 | 200 |    1.290451ms |       127.0.0.1 | POST     "/luck/juSljU85/goodluck"
[GIN] 2022/02/26 - 15:45:36 | 200 |    5.440093ms |       127.0.0.1 | GET      "/luck/admin"
[GIN] 2022/02/26 - 15:45:36 | 200 |    5.492678ms |       127.0.0.1 | GET      "/luck/admin"
[GIN] 2022/02/26 - 15:45:36 | 200 |    1.032496ms |       127.0.0.1 | GET      "/luck/static/css/admin.min.css"
[GIN] 2022/02/26 - 15:45:36 | 200 |    2.247105ms |       127.0.0.1 | GET      "/luck/static/css/admin.min.css"
[GIN] 2022/02/26 - 15:45:36 | 200 |    2.251364ms |       127.0.0.1 | GET      "/luck/static/js/admin.min.js"
[GIN] 2022/02/26 - 15:45:36 | 200 |     2.29903ms |       127.0.0.1 | GET      "/luck/static/js/admin.min.js"
[GIN] 2022/02/26 - 15:45:36 | 200 |    49.77069ms |       127.0.0.1 | POST     "/luck/admin/shortlinks"
[GIN] 2022/02/26 - 15:45:36 | 200 |   49.828068ms |       127.0.0.1 | POST     "/luck/admin/shortlinks"
[GIN] 2022/02/26 - 15:45:44 | 200 |      37.531µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:44 | 200 |     288.176µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:46 | 200 |      31.161µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:46 | 200 |       117.6µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:45:47 | 200 |     437.636µs |       127.0.0.1 | POST     "/luck/RI1XBNzJ/goodluck"
[GIN] 2022/02/26 - 15:45:47 | 200 |     1.02282ms |       127.0.0.1 | POST     "/luck/RI1XBNzJ/goodluck"
[GIN] 2022/02/26 - 15:50:00 | 200 |    1.107134ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 15:50:00 | 200 |    2.297262ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:00:06 | 200 |      62.269µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:00:06 | 200 |    1.627228ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:01:01 | 200 |     136.603µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:01:01 | 200 |   86.888725ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:01:35 | 200 |      32.803µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:01:35 | 200 |   17.232247ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:02:05 | 200 |      22.625µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:02:05 | 200 |  143.595633ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:02:24 | 200 |      55.643µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:02:24 | 200 |     119.487µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:04 | 200 |      26.746µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:04 | 200 |     582.561µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:13 | 200 |      36.706µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:13 | 200 |     100.324µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:16 | 200 |      43.166µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:16 | 200 |     109.502µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:29 | 200 |      47.768µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:03:29 | 200 |     108.936µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:04:41 | 200 |      28.222µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:04:41 | 200 |     1.43957ms |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:04:47 | 200 |      43.334µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:04:47 | 200 |     105.354µs |       127.0.0.1 | POST     "/luck/prizes"
[GIN] 2022/02/26 - 16:04:52 | 200 |     104.394µs |       127.0.0.1 | POST     "/luck/prizes"
